hotel_id,hotel_code,hotel_name,titulo_review,rating
678,AVweDZahByjofQCxu3Oh,San Francisco Marriott Marquis,Great Location in SOMA,5.0
678,AVweDZahByjofQCxu3Oh,San Francisco Marriott Marquis,San Francisco In Style,5.0
679,AVwd-kbGkufWRAb5-7Db,Hotel Laguna,Needs to be updated,2.0
679,AVwd-kbGkufWRAb5-7Db,Hotel Laguna,Good because of location.,4.0
680,AVwcpFZjIN2L1WUfnRa7,Comfort Inn,This place is great it has a g...,5.0
681,AVwcopCNByjofQCxgfSS,Comfort Suites,Enjoyed my stay...for the most part,4.0
681,AVwcopCNByjofQCxgfSS,Comfort Suites,"Comfort -- After Goliath, the late December 2015 Winter Storm",5.0
682,AVwcf7HXkufWRAb5vz24,Hotel Manor,Great for overnight bike trip,5.0
683,AWEKjfDC3-Khe5l_es6x,Hampton Inn Suites McAlester,GREAT PLACE TO STAY,5.0
684,AVwc6TC1IN2L1WUfqPIt,Motel 6 Ardmore,"Nice, clean and friendly.",4.0
685,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,Amazing hotel!,5.0
685,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,Cozy and quiet,5.0
685,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,Good for the price,4.0
686,AVweFB7p_7pvs4fz_18I,Hampton Inn Suites Ardmore,Nice Hotel,5.0
687,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,OKAY!,4.0
687,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,Not worth the money,2.0
687,AVweR2I7ByjofQCxw0mU,Lexington Inn - Ardmore,"Expected something better, got worse",2.0
